Name,Organization,Date,Location,Profile Link
Dominique Lonneux,Freelancer,"June 2, 1993",Bosnia,https://cpj.org/data/people/dominique-lonneux/
Dona St. Plite,"WKAT, Miami","October 24, 1993",USA,https://cpj.org/data/people/dona-st-plite/
Duaa Jabbour,Freelance,"December 9, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/duaa-jabbour/
Duaa Sharaf,Radio Al-Aqsa,"October 26, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/duaa-sharaf/
Dumesky Kersaint,Radio-Télé INUREP,"April 16, 2023",Haiti,https://cpj.org/data/people/dumesky-kersaint/
Duniya Muhyadin Nur,Capital Voice,"June 5, 2005",Somalia,https://cpj.org/data/people/duniya-muhyadin-nur/
Duraid Isa Mohammed,CNN,"January 27, 2004",Iraq,https://cpj.org/data/people/duraid-isa-mohammed/
Dusko Jovanovic,Dan,"May 28, 2004",Montenegro,https://cpj.org/data/people/dusko-jovanovic/
Dwijamani Singh,Prime News,"December 23, 2012",India,https://cpj.org/data/people/dwijamani-singh/
Dylan Lyons,Spectrum News 13,"February 22, 2023",USA,https://cpj.org/data/people/dylan-lyons/
Ebrahim Zalzadeh,Mayar,"February 22, 1997",Iran,https://cpj.org/data/people/ebrahim-zalzadeh/
Edgar Damalerio,Zamboanga Scribe and DXKP Radio,"May 13, 2002",Philippines,https://cpj.org/data/people/edgar-damalerio/
Edgar Daniel Esqueda Castro,Freelance,"October 5- 6, 2017",Mexico,https://cpj.org/data/people/edgar-daniel-esqueda-castro/
Edgar Lopes de Faria,FM Capital,"October 29, 1997",Brazil,https://cpj.org/data/people/edgar-lopes-de-faria/
Edgar Pantaleón Fernández Fleitas,Belén Comunicaciones,"June 19, 2014",Paraguay,https://cpj.org/data/people/edgar-pantaleon-fernandez-fleitas/
Edinaldo Filgueira,Jornal o Serrano,"June 15, 2011",Brazil,https://cpj.org/data/people/edinaldo-filgueira/
Édison Alberto Molina,Puerto Berrío Stereo,"September 11, 2013",Colombia,https://cpj.org/data/people/edison-alberto-molina/
Eduard Markevich,Novy Reft,"September 18, 2001",Russia,https://cpj.org/data/people/eduard-markevich/
Eduardo Carvalho,Última Hora News,"November 21, 2012",Brazil,https://cpj.org/data/people/eduardo-carvalho/
Eduardo Dizon,Brigada News FM,"July 10, 2019",Philippines,https://cpj.org/data/people/eduardo-dizon/
Edward Chikomba,Zimbabwe Broadcasting Corporation (former),"March 31, 2007",Zimbabwe,https://cpj.org/data/people/edward-chikomba/
Edward Smith,BBC,"April 13, 1998",Sierra Leone,https://cpj.org/data/people/edward-smith/
Efraín Varela Noriega,Radio Meridiano-70,"June 28, 2002",Colombia,https://cpj.org/data/people/efrain-varela-noriega/
Ejaz Raisani,Samaa TV,"September 6, 2010",Pakistan,https://cpj.org/data/people/ejaz-raisani/
Ejazul Haq,City-42 TV,"May 28, 2010",Pakistan,https://cpj.org/data/people/ejazul-haq/
El-Hadj Mohamed Diallo,"Guinée7, Afrik","February 5, 2016",Guinea,https://cpj.org/data/people/el-hadj-mohamed-diallo/
Eldy Sablas (aka Eldy Gabinales),Radio DXJR-FM,"October 19, 2004",Philippines,https://cpj.org/data/people/eldy-sablas-aka-eldy-gabinales/
Elidio Ramos Zárate,El Sur,"June 19, 2016",Mexico,https://cpj.org/data/people/elidio-ramos-zarate/
Eliseo Barrón Hernández,La Opinión,"May 25, 2009",Mexico,https://cpj.org/data/people/eliseo-barron-hernandez/
Elmar Huseynov,Monitor,"March 2, 2005",Azerbaijan,https://cpj.org/data/people/elmar-huseynov/
Elpidio Binoya,Radyo Natin,"June 17, 2004",Philippines,https://cpj.org/data/people/elpidio-binoya/
Elpidio Inacio,Televisao Popular de Angola,"August 23, 1993",Angola,https://cpj.org/data/people/elpidio-inacio/
Elsa Cayat,Freelance,"January 7, 2015",France,https://cpj.org/data/people/elsa-cayat/
Elyas Dayee,Radio Free Europe/Radio Liberty,"November 12, 2020",Afghanistan,https://cpj.org/data/people/elyas-dayee-2/
Emmanuel-Damien Rukondo,Rubyiruko-Rubanda,"April 24, 1994",Rwanda,https://cpj.org/data/people/emmanuel-damien-rukondo/
Enenche Akogwu,Channels TV,"January 20, 2012",Nigeria,https://cpj.org/data/people/enenche-akogwu/
Enzo Baldoni,freelance,"August 26, 2004",Iraq,https://cpj.org/data/people/enzo-baldoni/
Ernesto Acero Cadena,Informador Socioeconómico,"December 12, 1995",Colombia,https://cpj.org/data/people/ernesto-acero-cadena/
Ernesto Maravilla,Bombo Radyo,"November 23, 2009",Philippines,https://cpj.org/data/people/ernesto-maravilla/
Ernie Rollin,DXSY Radio,"February 23, 2009",Philippines,https://cpj.org/data/people/ernie-rollin/
Erol Akgun,Devrimci Cozum,"September 8, 1994",Turkey,https://cpj.org/data/people/erol-akgun/
Ersa Siregar,Rajawali Citra Televisi,"December 29, 2003",Indonesia,https://cpj.org/data/people/ersa-siregar/
Essam Abdullah,Hawar News Agency,"November 20, 2022",Syria,https://cpj.org/data/people/essam-abdullah/
Eudés Nshimiryo,TV Rwanda,"April 7, 1994",Rwanda,https://cpj.org/data/people/eudes-nshimiryo/
Eustorgio Colmenares,La Opinión,"March 12, 1993",Colombia,https://cpj.org/data/people/eustorgio-colmenares/
Evany José Metzker,Coruja do Vale,"May 13, 14, 15, 16, 17, or 18, 2015",Brazil,https://cpj.org/data/people/evany-jose-metzker/
Evariste Djailoramdji,Lotiko Radio,"February 9, 2022",Chad,https://cpj.org/data/people/evariste-djailoramdji/
Fabien Fortuné Bitoumbo,Radio Liberté,"August 29, 1998",Republic of Congo,https://cpj.org/data/people/fabien-fortune-bitoumbo/
Fabio Polenghi,freelance,"May 19, 2010",Thailand,https://cpj.org/data/people/fabio-polenghi/
Facely Camara,Liberté FM,"September 16, 2014",Guinea,https://cpj.org/data/people/facely-camara/
Fadel al-Hadidi,Mosul al-Youm; Sada al-Iraq,Unknown in 2015,Iraq,https://cpj.org/data/people/fadel-al-hadidi/
Fadel Shana,Reuters,"April 16, 2008",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/fadel-shana/
Fadhil Hazem Fadhil,Al-Hurriya,"April 14, 2005",Iraq,https://cpj.org/data/people/fadhil-hazem-fadhil/
Fadi Hassouna,Al-Quds Al-Youm,"December 26, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/fadi-hassouna/
Fadila Nejma,Echourouk,"June 14, 2001",Algeria,https://cpj.org/data/people/fadila-nejma/
Faisal Abu Al Qumsan,Al-Quds Al-Youm,"December 26, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/faisal-abu-al-qumsan/
Faisal Arefin Dipan,Jagriti Prokashoni,"October 31, 2015",Bangladesh,https://cpj.org/data/people/faisal-arefin-dipan/
Faisal Qureshi,The London Post,"October 7, 2011",Pakistan,https://cpj.org/data/people/faisal-qureshi/
Fakher Haider,The New York Times,"September 19, 2005",Iraq,https://cpj.org/data/people/fakher-haider/
Falah Khalaf al-Diyali,Al-Sa'a,"January 15, 2007",Iraq,https://cpj.org/data/people/falah-khalaf-al-diyali/
Farag Fouda,October,"June 8, 1992",Egypt,https://cpj.org/data/people/farag-fouda/
Farah Omar,Al-Mayadeen TV,"November 21, 2023",Lebanon,https://cpj.org/data/people/farah-omar/
Farah Ziane,Révolution Africaine,"October 20, 1994",Algeria,https://cpj.org/data/people/farah-ziane/
Fares Hamadi,Eye on the Homeland,"October 30, 2015",Turkey,https://cpj.org/data/people/fares-hamadi/
Farhad Taqaddosi,Press TV,"September 20, 2011",Afghanistan,https://cpj.org/data/people/farhad-taqaddosi/
Farhan Jeemis Abdulle,Radio Daljir and Simba Radio,"May 2, 2012",Somalia,https://cpj.org/data/people/farhan-jeemis-abdulle/
Farkhad Kerimov,Associated Press TV,"May 29, 1995",Russia,https://cpj.org/data/people/farkhad-kerimov/
Fausto Gabriel Alcaraz Garay,Radio Amambay,"May 16, 2014",Paraguay,https://cpj.org/data/people/fausto-gabriel-alcaraz-garay/
Fazal Wahab,freelance,"January 21, 2003",Pakistan,https://cpj.org/data/people/fazal-wahab/
Federico Gempesaw,Radyo Natin 106.3 FM CDO,"June 29, 2022",Philippines,https://cpj.org/data/people/federico-gempesaw/
Felix Solovyov,freelance,"February 26, 1996",Russia,https://cpj.org/data/people/felix-solovyov/
Feng Zhaoxia,Gejie Daobao,"January 15, 2001",China,https://cpj.org/data/people/feng-zhaoxia/
Ferdinand Reyes,Press Freedom,"February 13, 1996",Philippines,https://cpj.org/data/people/ferdinand-reyes/
Ferhat Cherkit,El Moudjahid,"June 7, 1994",Algeria,https://cpj.org/data/people/ferhat-cherkit/
Ferhat Tepe,Ozgur Gundem,"July 28, 1993",Turkey,https://cpj.org/data/people/ferhat-tepe/
Fernando Batul,DZRH and DYPR,"May 22, 2006",Philippines,https://cpj.org/data/people/fernando-batul/
Fernando Marcelino,Jango,"October 20, 1992",Angola,https://cpj.org/data/people/fernando-marcelino/
Fernando Razon,Periodico Ini,"November 23, 2009",Philippines,https://cpj.org/data/people/fernando-razon/
Fernando Solijon,DxLS Love Radio,"August 29, 2013",Philippines,https://cpj.org/data/people/fernando-solijon/
Ferzat Jarban,Freelance,"November 19 or 20, 2011",Syria,https://cpj.org/data/people/ferzat-jarban/
"Fesshaye ""Joshua"" Yohannes",Setit,on an unknown date (death disclosed February 2007),Eritrea,https://cpj.org/data/people/fesshaye-joshua-yohannes/
Fidaa al-Baali,Orient News,"July 5, 2013",Syria,https://cpj.org/data/people/fidaa-al-baali/
Fidelis Ikwuebe,Freelancer,"April 18, 1999",Nigeria,https://cpj.org/data/people/fidelis-ikwuebe/
Filadelfo Sánchez Sarmiento,La Favorita 103.3FM La Voz de la Sierra Sur,"July 2, 2015",Mexico,https://cpj.org/data/people/filadelfo-sanchez-sarmiento/
Filaih Wuday Mijthab,Al-Sabah,"June 17, 2007",Iraq,https://cpj.org/data/people/filaih-wuday-mijthab/
Filolisho Khilvatshoev,Payomi Dushanbe,"December, 1992",Tajikistan,https://cpj.org/data/people/filolisho-khilvatshoev/
Firas al-Baher,Nineveh al-Ghad,"May 1, 2015",Iraq,https://cpj.org/data/people/firas-al-baher/
Firas Maadidi,As-Saffir and Al-Masar,"September 20, 2005",Iraq,https://cpj.org/data/people/firas-maadidi/
Firas Mohammed Attiyah,Fallujah TV,"January 20, 2014",Iraq,https://cpj.org/data/people/firas-mohammed-attiyah/
Flavio Bedoya,Voz,"April 27, 2001",Colombia,https://cpj.org/data/people/flavio-bedoya/
Flor Alba Núñez Vargas,Red Noticias and La Preferida Estereo,"September 10, 2015",Colombia,https://cpj.org/data/people/flor-alba-nunez-vargas/
Francis Nyaruri,Weekly Citizen,January 2009,Kenya,https://cpj.org/data/people/francis-nyaruri/
Francis Tomasic,freelance,"May 1, 1994",Bosnia,https://cpj.org/data/people/francis-tomasic/
Francisca Sandoval,Canal Señal 3 La Victoria,"May 12, 2022",Chile,https://cpj.org/data/people/francisca-sandoval/
Francisco Arratia Saldierna,freelance,"August 31, 2004",Mexico,https://cpj.org/data/people/francisco-arratia-saldierna/
Francisco Castro Menco,Fundación Cultural,"November 8, 1997",Colombia,https://cpj.org/data/people/francisco-castro-menco/
Francisco Gomes de Medeiros,Radio Caicó,"October 18, 2010",Brazil,https://cpj.org/data/people/francisco-gomes-de-medeiros/
Francisco Javier Ortiz Franco,Zeta,"June 22, 2004",Mexico,https://cpj.org/data/people/francisco-javier-ortiz-franco/
Francisco Javier Ramírez,Channel 24 Danlí,"December 21, 2023",Honduras,https://cpj.org/data/people/francisco-javier-ramirez/
Francisco Parada,Unknown,"January 1, 1993",El Salvador,https://cpj.org/data/people/francisco-parada/
Francisco Romero Díaz,"Quintana Roo Hoy,Ocurrió Aquí,Quinta Fuerza","May 16, 2019",Mexico,https://cpj.org/data/people/francisco-romero-diaz/
Frantzsen Charles,FS News Haiti,"September 11, 2022",Haiti,https://cpj.org/data/people/frantzsen-charles/
Freddy Elles Ahumada,Freelancer,"March 18, 1997",Colombia,https://cpj.org/data/people/freddy-elles-ahumada/
Frédéric Leclerc-Imhoff,BFMTV,"May 30, 2022",Ukraine,https://cpj.org/data/people/frederic-leclerc-imhoff/
Fuad Muhammad Syafruddin,Bernas,"August 16, 1996",Indonesia,https://cpj.org/data/people/fuad-muhammad-syafruddin/
G. Raja Sekhar,Eenadu Television (E-TV),"November 19, 1997",India,https://cpj.org/data/people/g-raja-sekhar/
Gabriel Cruz Díaz,El Heraldo,"November 11, 1995",Colombia,https://cpj.org/data/people/gabriel-cruz-diaz/
Gabriel Gruener,Stern,"June 13, 1999",Yugoslavia,https://cpj.org/data/people/gabriel-gruener/
Gabrielle Marian Hulsen,Freelancer,"August 18, 1992",Lebanon,https://cpj.org/data/people/gabrielle-marian-hulsen/
Gadzhimurad Kamalov,Chernovik,"December 15, 2011",Russia,https://cpj.org/data/people/gadzhimurad-kamalov/
Garry Tesse,Radio Lebon FM,"Oct 18-24, 2022",Haiti,https://cpj.org/data/people/garry-tesse/
Gauri Lankesh,Gauri Lankesh Patrike,"September 5, 2017",India,https://cpj.org/data/people/gauri-lankesh/
Gautam Das,Samakal,"November 17, 2005",Bangladesh,https://cpj.org/data/people/gautam-das/
Gebran Tueni,Al-Nahar,"December 12, 2005",Lebanon,https://cpj.org/data/people/gebran-tueni/
Gelson Domingos da Silva,Bandeirantes TV,"November 6, 2011",Brazil,https://cpj.org/data/people/gelson-domingos-da-silva/
Gene Boyd Lumawag,MindaNews,"November 12, 2004",Philippines,https://cpj.org/data/people/gene-boyd-lumawag/
Gennady Pavlyuk (Ibragim Rustambek),Bely Parokhod,"December 22, 2009",Kazakhstan,https://cpj.org/data/people/gennady-pavlyuk-ibragim-rustambek/
Georg Friderich Pfuhl,FADMST,"September 19, 1992",Bosnia,https://cpj.org/data/people/georg-friderich-pfuhl/
George Abanga,"Success FM, Peace FM","September 10, 2015",Ghana,https://cpj.org/data/people/george-abanga/
George Vigo,Union of Catholic Asian News,"June 19, 2006",Philippines,https://cpj.org/data/people/george-vigo/
Georges Wolinski,Charlie Hebdo,"January 7, 2015",France,https://cpj.org/data/people/georges-wolinski/
Georgy Chanya,Resonants,"May 26, 1998",Georgia,https://cpj.org/data/people/georgy-chanya/
Georgy Gongadze,Ukrainska Pravda,"September 16, 2000",Ukraine,https://cpj.org/data/people/georgy-gongadze/
Georgy Sanaya,Rustavi-2,"July 26, 2001",Georgia,https://cpj.org/data/people/georgy-sanaya/
Gerald Fischman,Capital Gazette,"June 28, 2018",USA,https://cpj.org/data/people/gerald-fischman/
Gerardo Bedoya Borrero,El País,"March 20, 1997",Colombia,https://cpj.org/data/people/gerardo-bedoya-borrero/
Gerardo Ceferino Servían,Ciudad Nueva FM,"March 5, 2015",Brazil,https://cpj.org/data/people/gerardo-ceferino-servian/
Germain Cyrille Ngota Ngota,Cameroon Express,"April 22, 2010",Cameroon,https://cpj.org/data/people/germain-cyrille-ngota-ngota/
Germain Kennedy Mumbere Muliwavyo,Radio Télévision Muungano,"February 16, 2014",Democratic Republic of the Congo,https://cpj.org/data/people/germain-kennedy-mumbere-muliwavyo/
German Vallecillo Jr.,Canal 45TV,"July 1, 2020",Honduras,https://cpj.org/data/people/german-vallecillo-jr/
Gerry Ortega,DWAR,"January 24, 2011",Philippines,https://cpj.org/data/people/gerardo-ortega/
Ghaith Abd al-Jawad,Qaboun Media Center,"March 10, 2013",Syria,https://cpj.org/data/people/ghaith-abd-al-jawad/
Gharib Mohamed Salih,Kurdistan TV,"February 1, 2004",Iraq,https://cpj.org/data/people/gharib-mohamed-salih/
Ghassan Najjar,Al-Mayadeen,"October 25, 2024",Lebanon,https://cpj.org/data/people/ghassan-najjar/
Ghazi Rasooli,1TV,"April 30, 2018",Afghanistan,https://cpj.org/data/people/ghazi-rasooli/
Ghislaine Dupont,Radio France Internationale,"November 2, 2013",Mali,https://cpj.org/data/people/ghislaine-dupont/
Ghulam Muhammad Lone,Freelancer,"August 29, 1994",India,https://cpj.org/data/people/ghulam-muhammad-lone/
Ghulam Rasool,Online International News Network,"August 28, 2014",Pakistan,https://cpj.org/data/people/ghulam-rasool/
Ghulam Rasool Birhamani,Daily Sindhu Hyderabad,"May 9 or 10, 2010",Pakistan,https://cpj.org/data/people/ghulam-rasool-birhamani/
Ghulam Rasool Sheikh,Rehnuma-e-Kashmir and Saffron Times,"April 10, 1996",India,https://cpj.org/data/people/ghulam-rasool-sheikh/
Gilbert Munana,Le Flambeau,"April 8, 1994",Rwanda,https://cpj.org/data/people/gilbert-munana/
Gilles Jacquier,France 2,"January 11, 2012",Syria,https://cpj.org/data/people/gilles-jacquier/
Gina Dela Cruz,Saksi News,"November 23, 2009",Philippines,https://cpj.org/data/people/gina-dela-cruz/
Givanildo Oliveira,Pirambu News,"February 7, 2022",Brazil,https://cpj.org/data/people/givanildo-oliveira/
Gleydson Carvalho,Radio Liberdade FM 90.3,"August 6, 2015",Brazil,https://cpj.org/data/people/gleydson-carvalho/
Golam Rabbani Nadim,Freelance,"June 14, 2023",Bangladesh,https://cpj.org/data/people/golam-rabbani-nadim/
Gratien Karambizi,Imbaga,"April 9, 1994",Rwanda,https://cpj.org/data/people/gratien-karambizi/
Greg Hapalla,DXAS,"September 21, 1992",Philippines,https://cpj.org/data/people/greg-hapalla/
Gregorio Jiménez de la Cruz,Notisur and Liberal del Sur,"Between February 5 and 11, 2014",Mexico,https://cpj.org/data/people/gregorio-jimenez-de-la-cruz/
Gregorio Rodríguez Hernández,El Debate,"November 28, 2004",Mexico,https://cpj.org/data/people/gregorio-rodriguez-hernandez/
Grigol Chikhladze,Caucasus Images,"August 10, 2008",Georgia,https://cpj.org/data/people/grigol-chikhladze/
Guido Puletti,Freelancer,"May 29, 1993",Bosnia,https://cpj.org/data/people/guido-puletti/
Guillaume Barreau-Decherf,Freelance,"November 13, 2015",France,https://cpj.org/data/people/guillaume-barreau-decherf/
Guillermo Bravo Vega,Alpevisión Radio,"April 28, 2003",Colombia,https://cpj.org/data/people/guillermo-bravo-vega/
Guillermo Quiroz Delgado,Freelance,"November 27, 2012",Colombia,https://cpj.org/data/people/guillermo-quiroz-delgado/
Gulistan Tara,Chatr Multimedia Production Company,"August 22, 2024",Iraq,https://cpj.org/data/people/gulistan-tara/
Gundars Matiss,Kurzeme Vards,"November 28, 2001",Latvia,https://cpj.org/data/people/gundars-matiss/
Güngör Arslan,Ses Kocaeli,"February 19, 2022",Turkey,https://cpj.org/data/people/gungor-arslan/
Gustavo Rafael Ruiz Cantillo,Radio Galeón,"November 15, 2000",Colombia,https://cpj.org/data/people/gustavo-rafael-ruiz-cantillo/
Gustavo Rojas Gabalo,Radio Panzenú,"March 20, 2006",Colombia,https://cpj.org/data/people/gustavo-rojas-gabalo/
Gustavo Sánchez Cabrera,"Panorama Pacífico,Noticias Minuto a Minuto","June 17, 2021",Mexico,https://cpj.org/data/people/gustavo-sanchez-cabrera/
Guzmán Quintero Torres,El Pilón,"September 16, 1999",Colombia,https://cpj.org/data/people/guzman-quintero-torres/
Gyanendra Khadka,Rastriya Samachar Samiti,"September 7, 2003",Nepal,https://cpj.org/data/people/gyanendra-khadka/
Habiba Ahmed Abd Elaziz,Al-Jazeera,"August 14, 2013",Egypt,https://cpj.org/data/people/habiba-ahmed-abd-elaziz/
Habibollah Hosseinzadeh,Press TV,"May 31, 2017",Afghanistan,https://cpj.org/data/people/habibollah-hosseinzadeh/
Hadi al-Mahdi,Freelance,"September 8, 2011",Iraq,https://cpj.org/data/people/hadi-al-mahdi/
Hafiz Akdemir,Ozgur Gundem,"June 8, 1992",Turkey,https://cpj.org/data/people/hafiz-akdemir/
Haidar al-Hussein,Al-Sharq,"May 22, 2008",Iraq,https://cpj.org/data/people/haidar-al-hussein/
Haidar Hashim Suhail,Al-Baghdadia TV,"March 10, 2009",Iraq,https://cpj.org/data/people/haidar-hashim-suhail/
Halima Idris Salim,Sudan Bukra,"October 10, 2023",Sudan,https://cpj.org/data/people/halima-idris-salim/
Halit Gungen,2000'e Dogru,"February 9, 1992",Turkey,https://cpj.org/data/people/halit-gungen/
Hamada Al-Yaziji,"Kanaan News Agency,Al-Quds Radio","December 3, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/hamada-al-yaziji/
Hamid Abed Sarhan,freelance,"June 26, 2007",Iraq,https://cpj.org/data/people/hamid-abed-sarhan/
Hamid al-Duleimi,Nahrain,"March 17, 2007",Iraq,https://cpj.org/data/people/hamid-al-duleimi/
Hamid Mahiout,Liberté,"December 2, 1995",Algeria,https://cpj.org/data/people/hamid-mahiout/
Hamoud al-Jnaid,Radio Fresh,"November 23, 2018",Syria,https://cpj.org/data/people/hamoud-al-jnaid/
Hamza Al Dahdouh,Al-Jazeera,"January 7, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/hamza-al-dahdouh/
Hamza Murtaja,Record Media,"August 20, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/hamza-murtaja/
Hanan Adam,Al-Midan,"December 8, 2024",Sudan,https://cpj.org/data/people/hanan-adam/
Haneen Baroud,Al Majedat Media Network,"October 27, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/haneen-baroud/
Haneen Kashtan,"TV Al-Kofiya,Baladna Web TV","December 17, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/haneen-kashtan/
Hang Serei Odom,Virakchun Khmer Daily,"September 11, 2012",Cambodia,https://cpj.org/data/people/hang-serei-odom/
Hannibal Cachuela,Punto News,"November 23, 2009",Philippines,https://cpj.org/data/people/hannibal-cachuela/
Hansi Krauss,Associated Press,"July 12, 1993",Somalia,https://cpj.org/data/people/hansi-krauss/
Harb Hazzah al-Duleimi,Hona Salaheddin,"July 7, 2017",Iraq,https://cpj.org/data/people/harb-hazzah-al-duleimi/
Harry Burton,Reuters Television,"November 19, 2001",Afghanistan,https://cpj.org/data/people/harry-burton/
Harry Yansaneh,For Di People,"July 28, 2005",Sierra Leone,https://cpj.org/data/people/harry-yansaneh/
Harunur Rashid,Dainik Purbanchal,"March 2, 2002",Bangladesh,https://cpj.org/data/people/harunur-rashid/
Hasan Mehedi,Dhaka Times,"July 18, 2024",Bangladesh,https://cpj.org/data/people/hasan-mehedi/
Hashim al-Hamran,Al-Masirah TV,"January 22, 2016",Yemen,https://cpj.org/data/people/hashim-al-hamran/
Hassan al-Anbaki,Al-Sharqiya,"January 12, 2016",Iraq,https://cpj.org/data/people/hassan-al-anbaki/
Hassan Al-Qishawi,,"January 2, 2025",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/hassan-al-qishawi/
Hassan al-Wadhaf,Arabic Media Agency,"September 24, 2011",Yemen,https://cpj.org/data/people/hassan-al-wadhaf/
Hassan Benaouda,Algerian Television (ENTV),"March 12, 1994",Algeria,https://cpj.org/data/people/hassan-benaouda/
Hassan Kafi Hared,Somali National News Agency,"January 28, 2008",Somalia,https://cpj.org/data/people/hassan-kafi-hared/
Hassan Mayow Hassan,Radio Shabelle,"January 1, 2009",Somalia,https://cpj.org/data/people/hassan-mayow-hassan/
Hassan Osman Abdi,Shabelle Media Network,"January 28, 2012",Somalia,https://cpj.org/data/people/hassan-osman-abdi/
Hassan Yusuf Absuge,Radio Maanta,"September 21, 2012",Somalia,https://cpj.org/data/people/hassan-yusuf-absuge/
Hassan Zubeyr,Al-Arabiya,"December 3, 2009",Somalia,https://cpj.org/data/people/hassan-zubeyr/
Hassouneh Salim,Freelance,"November 18, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/hassouneh-salim/
Hatem Abu Yehia,Al-Ikhbariya,"August 10, 2012",Syria,https://cpj.org/data/people/hatem-abu-yehia/
Hawker Faisal Mohammed,Hawar News Agency (ANHA),"October 13, 2017",Syria,https://cpj.org/data/people/hawker-faisal-mohammed/
Hayatullah Khan,Freelance,"June 16, 2006",Pakistan,https://cpj.org/data/people/hayatullah-khan/
Haymin Mohamed Salih,Qulan TV,"February 1, 2004",Iraq,https://cpj.org/data/people/haymin-mohamed-salih/
Heba Al-Abadla,Al-Azhar Radio,"January 9, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/heba-al-abadla/
Heber López Vásquez,"NoticiasWeb,RCP Noticias","February 10, 2022",Mexico,https://cpj.org/data/people/heber-lopez-vasquez/
Héctor Ramírez,Noti7 and Radio Sonora,"July 24, 2003",Guatemala,https://cpj.org/data/people/hector-ramirez/
Héctor Sandoval,RCN Televisión,"April 12, 2002",Colombia,https://cpj.org/data/people/hector-sandoval/
Henry Araneta,DZRH,"November 23, 2009",Philippines,https://cpj.org/data/people/henry-araneta/
Herliyanto,Radar Surabaya and Jimber News Visioner,"April 29, 2006",Indonesia,https://cpj.org/data/people/herliyanto/
Hernando Rangel Moreno,Freelancer,"April 11, 1999",Colombia,https://cpj.org/data/people/hernando-rangel-moreno/
Hero Bahadin,"Chatr Multimedia Production Company,Sterk TV","August 22, 2024",Iraq,https://cpj.org/data/people/hero-bahadin/
Herson Hinolan,Bombo Radyo,"November 13, 2004",Philippines,https://cpj.org/data/people/herson-hinolan/
Hind Ismail,As-Saffir,"September 17, 2005",Iraq,https://cpj.org/data/people/hind-ismail/
Hindia Haji Mohamed,"Radio Mogadishu, Somali National TV","December 3, 2015",Somalia,https://cpj.org/data/people/hindia-haji-mohamed/
Hiro Muramoto,Reuters,"April 10, 2010",Thailand,https://cpj.org/data/people/hiro-muramoto/
Hisham Alnwajha,“Khabar” News Agency,"October 9, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/hisham-alnwajha/
Hisham Fares al-Adhami,Freelance,"October 4, 2019",Iraq,https://cpj.org/data/people/hisham-fares-al-adhami/
Hosea Maina,Reuters,"July 12, 1993",Somalia,https://cpj.org/data/people/hosea-maina/
Hosein Naderi,Afghan Voice Agency,"March 11, 2023",Afghanistan,https://cpj.org/data/people/hosein-naderi/
Hozan Abdel Halim Mahmoud,Freelance,"November 19, 2012",Syria,https://cpj.org/data/people/hozan-abdel-halim-mahmoud/
Hrant Dink,Agos,"January 19, 2007",Turkey,https://cpj.org/data/people/hrant-dink/
Htet Myat Thu,Freelance,"August 20, 2024",Myanmar,https://cpj.org/data/people/htet-myat-thu/
Humam Najjar (Abu Yazan al-Halabi),Aleppo Today,"April 16, 2015",Syria,https://cpj.org/data/people/humam-najjar-abu-yazan-al-halabi/
Humayun Kabir,Janmabhumi,"June 24, 2004",Bangladesh,https://cpj.org/data/people/humayun-kabir/
Husam Mubarak,Al-Aqsa Voice Radio,"October 13, 2023",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/husam-mubarak/
Huseyin Deniz,Ozgur Gundem,"August 9, 1992",Turkey,https://cpj.org/data/people/huseyin-deniz/
Hussain Nazari,Rah-E-Farda Radio and Television,"November 17, 2017",Afghanistan,https://cpj.org/data/people/hussain-nazari/
Hussam al-Dabbaka,"Freelance,Al Quds Al-Youm","August 22, 2024",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/hussam-al-dabbaka/
Hussam Salama,Al-Aqsa,"November 20, 2012",Israel and the Occupied Palestinian Territory,https://cpj.org/data/people/hussam-salama/
Hussam Sarsam,Kurdistan TV,"March 14, 2005",Iraq,https://cpj.org/data/people/hussam-sarsam/
Hussein al-Zubaidi,Al-Ahali,"January 28, 2007",Iraq,https://cpj.org/data/people/hussein-al-zubaidi/
Hussein Ali,Al-Shaabiya,"October 12, 2006",Iraq,https://cpj.org/data/people/hussein-ali/
Hussein Khattab,TRT Arabic,"December 12, 2020",Syria,https://cpj.org/data/people/hussein-khattab/
Ian Subang,Socsargen Today,"November 23, 2009",Philippines,https://cpj.org/data/people/ian-subang/
